state,district,seawall_cost,Region,HC03_VC161,HC03_VC07,HC03_VC09,HC03_VC45,HC03_VC44,HC03_VC50,HC03_VC51,HC03_VC52,HC01_VC85,HC03_VC131,HC03_VC132,pop,seawall_cost_percap,seawall_cost_percap_cat
AL,1,5997820813.925216,South,13.8,4.3,43.7,14,10.2,1.4,7.2,12.2,46449,88.1,64.1,702730,8535.028836004178,"4,000-10,000"
CA,11,404388629.39006346,West,7.5,4.6,35.9,7.7,7.7,0.6,6.8,6.3,83343,91.9,71.9,749531,539.522220415251,"350-1,500"
CA,12,221174930.85534716,West,6.6,3.7,29,5.1,3.4,0.2,3.2,5.2,97282,94.6,74,752652,293.8608159618883,0-350
CA,13,217938497.79107556,West,10.9,4.7,33.4,8.6,5.9,0.4,5.2,6.4,70222,91.4,68.3,750102,290.54514958109104,0-350
CA,14,598175869.4232591,West,4.4,3.6,31.4,8,5.7,0.4,4.8,7.3,101753,94,76.9,750274,797.2765541965457,"350-1,500"
CA,15,33648617.77926745,West,5.1,3.4,33,9.4,6.7,0.5,5.7,12.1,103109,94.5,77.1,764963,43.98724876793708,0-350
CA,17,460578471.9318786,West,4.2,3.5,32.9,7.9,4.5,0.2,3.3,20.9,115390,95.5,79.4,762175,604.2949085602107,"350-1,500"
CA,18,737898584.225043,West,4,3.1,33.7,4.2,4.8,0.5,4.4,13.8,122124,95.1,82.5,735753,1002.9161746198018,"350-1,500"
CA,2,7303126640.507062,West,7.4,4,38.6,7.2,8.8,3,6.8,6.1,68709,91.9,67.9,717270,10181.837579303556,"10,000+"
CA,20,907494041.14095,West,10.5,4,37.8,10.5,17.2,12.6,6.6,6.8,66078,88.2,60.3,734923,1234.8151318450368,"350-1,500"
CA,24,2816183178.6935015,West,8.2,3.6,37.8,8.1,12.5,6.6,6.3,7,67574,89.3,67.5,732284,3845.7527116439815,"1,500-4,000"
CA,26,286585655.00790536,West,7.6,4.4,34.2,10.6,12.4,6.7,5.7,10.4,80281,88.6,66.1,725161,395.20279635543744,"350-1,500"
